classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,duration
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,SwedishLeaf,0.0,0.9748759928234144,0.9744,0.9747964113181504,0.015278100967407228
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Trace,0.0,1.0,1.0,1.0,0.002187728881835937
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,MiddlePhalanxTW,0.0,0.3755511463844797,0.5194805194805194,0.3706569839178535,0.0021958351135253906
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,uWaveGestureLibrary_Y,0.0,0.7679728619063114,0.7710776102735901,0.7716780256405996,0.0044403076171875
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,MiddlePhalanxOutlineCorrect,0.0,0.8358715685323503,0.8384879725085911,0.8337349397590361,0.0021893978118896484
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,SonyAIBORobotSurface,0.0,0.8902229654403567,0.8818635607321131,0.8955409406287431,0.0023670196533203125
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Cricket_X,0.0,0.8624823912036669,0.8538461538461538,0.8614611080659959,0.002785921096801758
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Phoneme,0.0,0.2467076027297415,0.3523206751054853,0.2277006142986249,0.007463932037353516
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Computers,0.0,0.8200204813108039,0.82,0.82,0.002175331115722656
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Two_Patterns,0.0,1.0,1.0,1.0,0.010012149810791016
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Worms,0.0,0.7871621621621623,0.8051948051948052,0.7591258741258742,0.002168893814086914
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,DistalPhalanxTW,0.0,0.5337688478992827,0.6618705035971223,0.5148354325985905,0.002187967300415039
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Lighting7,0.0,0.8274737167594309,0.821917808219178,0.8425647451963242,0.002170085906982422
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,NonInvasiveFatalECG_Thorax1,0.0,0.9593636430948291,0.9608142493638676,0.959409520984596,0.007920503616333008
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,Gun_Point,0.0,1.0,1.0,1.0,0.002172231674194336
nne/inception/nb_filters/16-0-1-2-3-4-,TSC,StarLightCurves,0.0,0.9759952244393756,0.9789946576007772,0.9620115380137674,0.004084587097167969
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Cricket_Z,0.0,0.8628767374725234,0.8615384615384616,0.8553910147144707,26.683693885803226
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,CinC_ECG_torso,0.0,0.86440811029064,0.855072463768116,0.8553233164247501,0.04375624656677246
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,yoga,0.0,0.9025747374746124,0.9013333333333332,0.8992513460716329,31.521356344223022
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,DiatomSizeReduction,0.0,0.9590909090909092,0.9411764705882352,0.9275467440361058,0.041970252990722656
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ProximalPhalanxOutlineCorrect,0.0,0.9166472167114016,0.9175257731958762,0.8900207559536815,26.470325231552124
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,MedicalImages,0.0,0.8051270826821574,0.8039473684210526,0.7833437178007758,26.78324890136719
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ElectricDevices,0.0,0.6983541509889414,0.7232524964336662,0.6361799831228808,31.46046757698059
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Ham,0.0,0.7336538461538462,0.7238095238095238,0.7205882352941176,0.01803112030029297
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,uWaveGestureLibrary_X,0.0,0.8199368349345934,0.8249581239530989,0.8232678313419154,31.28734517097473
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ProximalPhalanxOutlineAgeGroup,0.0,0.7352365334923475,0.8439024390243902,0.7228609625668448,26.304453134536747
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ECG200,0.0,0.8936418887330528,0.89,0.8654513888888888,0.019541025161743164
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,DistalPhalanxOutlineAgeGroup,0.0,0.692583470169677,0.7266187050359713,0.7439374185136897,26.32102608680725
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,wafer,0.0,0.9924905276926488,0.9982154445165476,0.9983388640723468,31.505625486373898
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,PhalangesOutlinesCorrect,0.0,0.8568713450292398,0.8554778554778555,0.8354711622154015,26.62521195411682
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,MALLAT,0.0,0.9637951148124752,0.959914712153518,0.960125394750574,0.02928757667541504
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,InsectWingbeatSound,0.0,0.6274898710415411,0.6272727272727273,0.6272727272727273,28.57494163513184
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Earthquakes,0.0,0.5178571428571428,0.7266187050359713,0.504532967032967,26.578458547592163
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,WormsTwoClass,0.0,0.7783400809716599,0.7792207792207793,0.7840909090909092,0.03118014335632324
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,HandOutlines,0.0,0.9615860005204268,0.9594594594594594,0.9502077979759525,30.08751368522644
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ProximalPhalanxTW,0.0,0.5866090346639546,0.7951219512195122,0.5524431414356789,26.26897692680359
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,BeetleFly,0.0,0.8846153846153846,0.85,0.85,0.028630733489990238
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,UWaveGestureLibraryAll,0.0,0.9514258987801216,0.9508654383026244,0.9510611036944708,39.65808367729186
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,NonInvasiveFatalECG_Thorax2,0.0,0.9599047907606836,0.9628498727735368,0.9602318954624276,32.043394327163696
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,TwoLeadECG,0.0,0.9973776223776224,0.9973661106233538,0.9973684210526316,0.031745195388793945
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Plane,0.0,1.0,1.0,1.0,0.018704652786254883
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,BirdChicken,0.0,0.9545454545454546,0.95,0.95,0.03782844543457031
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,InlineSkate,0.0,0.4932825532785109,0.4709090909090909,0.4859813126756198,0.029348373413085938
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Symbols,0.0,0.9763146198812446,0.9758793969849248,0.9759055775801132,0.017179012298583984
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Strawberry,0.0,0.9772261623325452,0.9810810810810808,0.9819200407435702,26.684773445129395
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Haptics,0.0,0.5574487251441484,0.5487012987012987,0.5477760470732254,0.04565572738647461
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,MoteStrain,0.0,0.895642118393015,0.8937699680511182,0.8909134090763207,0.04241514205932617
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,FacesUCR,0.0,0.9655376356744154,0.9702439024390244,0.9598421603753272,0.03868770599365234
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Adiac,0.0,0.8483122512534277,0.8388746803069054,0.8421860421860421,26.86135053634644
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,FordB,0.0,0.9322468141372848,0.9317931793179318,0.9314643272304562,34.030418157577515
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ShapeletSim,0.0,0.9285714285714286,0.9166666666666666,0.9166666666666669,0.018934011459350586
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,MiddlePhalanxOutlineAgeGroup,0.0,0.4243137254901961,0.5,0.4159712220057048,26.11847567558289
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,CBF,0.0,0.9988998899889988,0.9988888888888888,0.9988888888888888,0.01345515251159668
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Herring,0.0,0.675,0.6875,0.6700404858299596,0.03778743743896485
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,FordA,0.0,0.9476363956462116,0.9475145792835324,0.947347618474379,33.88448095321655
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Meat,0.0,0.9069412662090008,0.9,0.9,0.0017006397247314453
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,OliveOil,0.0,0.9166666666666666,0.8666666666666667,0.7916666666666666,0.028062105178833008
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Car,0.0,0.8875,0.8833333333333333,0.8836032388663968,0.02162337303161621
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,LargeKitchenAppliances,0.0,0.9022211852139912,0.8986666666666666,0.8986666666666667,27.16507935523987
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ECGFiveDays,0.0,1.0,1.0,1.0,0.010579347610473631
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,FaceFour,0.0,0.9666666666666668,0.9545454545454546,0.958041958041958,0.02125239372253418
