,classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,train_time,test_time
747,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,FISH,0.0,0.9832068092937656,0.9828571428571428,0.9840194698569082,0.0,0.0
748,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,synthetic_control,0.0,0.9967320261437908,0.9966666666666668,0.9966666666666668,0.0,0.0
749,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,SwedishLeaf,0.0,0.9607464538773359,0.96,0.9610077557593084,0.0,0.0
750,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Trace,0.0,1.0,1.0,1.0,0.0,0.0
751,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,MiddlePhalanxTW,0.0,0.3989258312020461,0.5194805194805194,0.39590229416316375,0.0,0.0
752,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,uWaveGestureLibrary_Y,0.0,0.771184577308235,0.7744276940256841,0.7748868013947767,0.0,0.0
753,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,MiddlePhalanxOutlineCorrect,0.0,0.8134387351778656,0.8144329896907216,0.8057349397590361,0.0,0.0
754,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,SonyAIBORobotSurface,0.0,0.8609700587845102,0.8369384359400999,0.856662598594255,0.0,0.0
755,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Cricket_X,0.0,0.8660534570973253,0.8615384615384616,0.8667799306405111,0.0,0.0
756,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Phoneme,0.0,0.2101575744559415,0.3291139240506329,0.20130093574783772,0.0,0.0
757,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Computers,0.0,0.7842911141008393,0.784,0.784,0.0,0.0
758,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Two_Patterns,0.0,1.0,1.0,1.0,0.0,0.0
759,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Worms,0.0,0.7286324786324786,0.7532467532467533,0.692972027972028,0.0,0.0
760,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,DistalPhalanxTW,0.0,0.5282407407407407,0.6474820143884892,0.5058385814964762,0.0,0.0
761,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Lighting7,0.0,0.8198438466295609,0.821917808219178,0.8469507101086048,0.0,0.0
762,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,NonInvasiveFatalECG_Thorax1,0.0,0.9597964903888364,0.9608142493638676,0.9597672359667858,0.0,0.0
763,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,Gun_Point,0.0,0.9933333333333334,0.9933333333333332,0.9934210526315792,0.0,0.0
764,nne/inception/kernel_size/64-0-1-2-3-4-,TSC,StarLightCurves,0.0,0.9752532132144076,0.9799660029140359,0.9659074043524012,0.0,0.0
765,nne/inception/batch_size/16-0-1-2-3-4-,TSC,Cricket_Z,0.0,0.8605794170162054,0.8666666666666667,0.8612577249180484,0.0,0.0
766,nne/inception/batch_size/16-0-1-2-3-4-,TSC,CinC_ECG_torso,0.0,0.8458906041021398,0.8420289855072464,0.8417702827017262,0.0,0.0
767,nne/inception/batch_size/16-0-1-2-3-4-,TSC,yoga,0.0,0.9119560854904514,0.91,0.9076277466986458,0.0,0.0
